row,title,author,publisher,year,language,source,file
281,Sensasi Edisi Ke-2,,,2010,"[""Malay""]",placeholder,covers/2010_Sensasi_Edisi_Ke-2_PLACEHOLDER.jpg
282,Tips-Tips Bahagia Bersama Pasangan,,Ilhamology Sdn. Bhd.,2010,"[""Malay""]",placeholder,covers/2010_Tips-Tips_Bahagia_Bersama_Pasangan_PLACEHOLDER.jpg
283,Antara Kasih & Dosa,Fahmi Ismail,Penerbitan Metrozone Sdn. Bhd. (255642-K),2010,"[""Malay""]",placeholder,covers/2010_Antara_Kasih_&_Dosa_PLACEHOLDER.jpg
284,Jendela Hati Kompilasi 4 Cerita Terbaik,Jamal Shamsudin,Penerbitan Azam Klasik,2010,"[""Malay""]",placeholder,covers/2010_Jendela_Hati_Kompilasi_4_Cerita_Terbaik_PLACEHOLDER.jpg
285,Gelora Nafsu #6,Nawawi Munir,Penerbitan Azam Klasik,2010,"[""Malay""]",placeholder,covers/2010_Gelora_Nafsu_#6_PLACEHOLDER.jpg
286,Gelora Nafsu 3 Kompilasi 5 Cerita Terbaik,Jamal Shamsudin,Penerbitan Azam Klasik,2010,"[""Malay""]",placeholder,covers/2010_Gelora_Nafsu_3_Kompilasi_5_Cerita_Terbaik_PLACEHOLDER.jpg
287,Gelora Nafsu 2 Kompilasi 6 Cerita Terbaik,Nawawi Munir,Penerbitan Azam Klasik,2010,"[""Malay""]",placeholder,covers/2010_Gelora_Nafsu_2_Kompilasi_6_Cerita_Terbaik_PLACEHOLDER.jpg
288,Kamasutra Jawa & Kuantum Cinta,Dr Razmi Ali Raden Amir/Siti Nurul Ainor B.Sc,Kalam Ilham Sdn. Bhd. (273791-D),2010,"[""Malay""]",placeholder,covers/2010_Kamasutra_Jawa_&_Kuantum_Cinta_PLACEHOLDER.jpg
289,Aan-Penn Eruttarai Valkhai,Tamilvanan,Manimegalai Pirasuram,2010,"[""Tamil""]",placeholder,covers/2010_Aan-Penn_Eruttarai_Valkhai_PLACEHOLDER.jpg
290,Aanmai Kuraivum-Penmai Kuraivum,Tamilvanan,Manimegalai Pirasuram,2010,"[""Tamil""]",placeholder,covers/2010_Aanmai_Kuraivum-Penmai_Kuraivum_PLACEHOLDER.jpg
291,Sex Exercise,Tamilvanan,Manimegalai Pirasuram,2010,"[""Tamil""]",placeholder,covers/2010_Sex_Exercise_PLACEHOLDER.jpg
292,Hard Magazine,,Chun Jia Co. Ltd.,2010,"[""Chinese""]",placeholder,covers/2010_Hard_Magazine_PLACEHOLDER.jpg
293,Gadis Jelita Yang Matang,,Qiang Ba Publishing House,2010,"[""Chinese""]",placeholder,covers/2010_Gadis_Jelita_Yang_Matang_PLACEHOLDER.jpg
294,Dewi Pesona,,Qiang Ba Publishing House,2010,"[""Chinese""]",placeholder,covers/2010_Dewi_Pesona_PLACEHOLDER.jpg
295,Visionary No. 2 - 3,Ujin,Leed Publishing Ltd. Co.,2010,"[""Chinese""]",placeholder,covers/2010_Visionary_No._2_-_3_PLACEHOLDER.jpg
296,X President No. 6,,Da Han Publishing House,2010,"[""Chinese""]",placeholder,covers/2010_X_President_No._6_PLACEHOLDER.jpg
297,1 Funny Malaysia,Zunar,Kinibooks,2010,"[""English""]",placeholder,covers/2010_1_Funny_Malaysia_PLACEHOLDER.jpg
298,Perak Darul Kartun,Zunar,Sepakat Efektif Sdn. Bhd.(857921-P),2010,"[""Malay""]",placeholder,covers/2010_Perak_Darul_Kartun_PLACEHOLDER.jpg
299,The March To Putrajaya-Malaysia's New Era Is At Hand,Kim Quek,"Oriengroup Sdn. Bhd,(211571-M)",2010,"[""English""]",placeholder,covers/2010_The_March_To_Putrajaya-Malaysia's_New_Era_Is_At_Hand_PLACEHOLDER.jpg
300,Oh Fazrah,,Teras Perkasa Ent.,2009,"[""Malay""]",placeholder,covers/2009_Oh_Fazrah_PLACEHOLDER.jpg
301,Isteri Romantik Di Kamar Yang Indah,Fahmi Marwan,Jasmine Enterprise Berinovatif Dan Berkreatif,2009,"[""Malay""]",placeholder,covers/2009_Isteri_Romantik_Di_Kamar_Yang_Indah_PLACEHOLDER.jpg
302,Suami Romantik Di Kamar Yang Indah,Fahmi Marwan,Jasmine Enterprise Berinovatif Dan Berkreatif,2009,"[""Malay""]",placeholder,covers/2009_Suami_Romantik_Di_Kamar_Yang_Indah_PLACEHOLDER.jpg
303,Rintihan Jiwa Seorang Lesbian,,M&S Production,2009,"[""Malay""]",placeholder,covers/2009_Rintihan_Jiwa_Seorang_Lesbian_PLACEHOLDER.jpg
304,Permata Gemilang,Hj. Wan Halim Bashah (Ibhar),Percetakan S.T. Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_Permata_Gemilang_PLACEHOLDER.jpg
305,Rahsia Dalam Rahsia Di Sebalik Tirai Kamar Suami Isteri,Othman Haji Jaafar,Darul Nu'man,2009,"[""Malay""]",placeholder,covers/2009_Rahsia_Dalam_Rahsia_Di_Sebalik_Tirai_Kamar_Suami_Isteri_PLACEHOLDER.jpg
306,Khazanah Mutiara Hikmah Suami Isteri & Bakal Pengantin,Ustaz Hj Ibrahim Muhammad,Darul Nu'man,2009,"[""Malay""]",placeholder,covers/2009_Khazanah_Mutiara_Hikmah_Suami_Isteri_&_Bakal_Pengantin_PLACEHOLDER.jpg
307,Menyingkap Rahsia Keistimewaan Wanita,Ain Aina,Zanzan Production,2009,"[""Malay""]",placeholder,covers/2009_Menyingkap_Rahsia_Keistimewaan_Wanita_PLACEHOLDER.jpg
308,Senggama Kubur,Abdullah Harahap,Seramist,2009,"[""Malay""]",placeholder,covers/2009_Senggama_Kubur_PLACEHOLDER.jpg
309,Pengantin Remaja,Puteri Izma,Progressive Publishing House Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_Pengantin_Remaja_PLACEHOLDER.jpg
310,Cinta Awak Dalam Sehari,,Penerbitan Maju Jaya Center Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_Cinta_Awak_Dalam_Sehari_PLACEHOLDER.jpg
311,Serakah Anak-Anak Zombie,Ron Sikana,Penerbitan Karang Media,2009,"[""Malay""]",placeholder,covers/2009_Serakah_Anak-Anak_Zombie_PLACEHOLDER.jpg
312,55 Masalah Seksual Yang Anda Malu Tanya,Rosaida Roslan B.Sc,Kalam Ilham Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_55_Masalah_Seksual_Yang_Anda_Malu_Tanya_PLACEHOLDER.jpg
313,God Is Not Great How Religion Poisons Everything,Christopher Hitchens,Twelve Hachette Book Group Usa,2009,"[""English""]",placeholder,covers/2009_God_Is_Not_Great_How_Religion_Poisons_Everything_PLACEHOLDER.jpg
314,The Qur'an A New Translation,Thomas Cleary,Starlatch Press,2009,"[""English""]",placeholder,covers/2009_The_Qur'an_A_New_Translation_PLACEHOLDER.jpg
315,The Trouble With Islam Today,Irshad Manji,St. Martin's Press,2009,"[""English""]",open_library,covers/2009_The_Trouble_With_Islam_Today.jpg
316,The Politically Incorrect Guide To Islam (And The Crusades),Robert Spencer,Regnery Publishing,2009,"[""English""]",open_library,covers/2009_The_Politically_Incorrect_Guide_To_Islam_(And_The_Crusades).jpg
317,Antichrist Islam's Awaited Messiah,Joel Richardson,Pleasant Word (A Division Of Wine Press Publishing),2009,"[""English""]",placeholder,covers/2009_Antichrist_Islam's_Awaited_Messiah_PLACEHOLDER.jpg
318,Islam And The West The Making Of An Image,Norman Daniel,Oneworld Publications (Sales And Editorial),2009,"[""English""]",placeholder,covers/2009_Islam_And_The_West_The_Making_Of_An_Image_PLACEHOLDER.jpg
319,Qabil & Habil,S. Aneesa,Little Angels' World,2009,"[""English""]",placeholder,covers/2009_Qabil_&_Habil_PLACEHOLDER.jpg
320,Ibrahim A.S. And Sarah,S. Aneesa,Little Angels' World,2009,"[""English""]",placeholder,covers/2009_Ibrahim_A.S._And_Sarah_PLACEHOLDER.jpg
321,The Jewel Of Medina,Sherry Jones,"Beaufort Books, New York",2009,"[""English""]",open_library,covers/2009_The_Jewel_Of_Medina.jpg
322,Hamka Bercerita Kisah Nabi & Rasul Jilid 1,M. Saribi Afn,Pustaka Dini Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_Hamka_Bercerita_Kisah_Nabi_&_Rasul_Jilid_1_PLACEHOLDER.jpg
323,Hamka Bercerita Kisah Nabi & Rasul Jilid 2,M. Saribi Afn,Pustaka Dini Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_Hamka_Bercerita_Kisah_Nabi_&_Rasul_Jilid_2_PLACEHOLDER.jpg
324,Allah Paling Hebat,Hf Rahadian,Pts One Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_Allah_Paling_Hebat_PLACEHOLDER.jpg
325,Petua Cemerlang Suami Isteri,,Ilhamology Sdn. Bhd.,2009,"[""Malay""]",placeholder,covers/2009_Petua_Cemerlang_Suami_Isteri_PLACEHOLDER.jpg
326,Secrets Of The Koran: Revealing Insights Into Islam's Holy Book,Don Richardson,Regal Books,2008,"[""English""]",placeholder,covers/2008_Secrets_Of_The_Koran_Revealing_Insights_Into_Islam's_Holy_Book_PLACEHOLDER.jpg
327,Qur'an And Women Rereading The Sacred Text From A Woman's Perspective,Amina Wadud,Oxford University Press,2008,"[""English""]",placeholder,covers/2008_Qur'an_And_Women_Rereading_The_Sacred_Text_From_A_Woman's_Perspective_PLACEHOLDER.jpg
328,The Importance Of Muhammad,Marilyn Tower Oliver,Lucent Books,2008,"[""English""]",placeholder,covers/2008_The_Importance_Of_Muhammad_PLACEHOLDER.jpg
329,"World Faiths Islam Worship, Festival And Ceremonies From Aroundthe World",Trevor Barnes,Kingfisher,2008,"[""English""]",placeholder,"covers/2008_World_Faiths_Islam_Worship,_Festival_And_Ceremonies_From_Aroundthe_World_PLACEHOLDER.jpg"
330,What Makes Me A Muslim,Catherine M. Petrini,"Kidhaven Press,",2008,"[""English""]",open_library,covers/2008_What_Makes_Me_A_Muslim.jpg
331,Women In Islam,Margaret Speaker Yuan,Green Haven Press,2008,"[""English""]",open_library,covers/2008_Women_In_Islam.jpg
332,Islam Unveiled: Disturbing Questions About The World's Fastest-Growing Faith,Robert Spencer,Encounter Books,2008,"[""English""]",placeholder,covers/2008_Islam_Unveiled_Disturbing_Questions_About_The_World's_Fastest-Growing_Faith_PLACEHOLDER.jpg
333,The Two Faces Of Islam: Saudi Fundamentalism And Its Role In Terrorism,Stephen Schwartz,Anchor Books,2008,"[""English""]",placeholder,covers/2008_The_Two_Faces_Of_Islam_Saudi_Fundamentalism_And_Its_Role_In_Terrorism_PLACEHOLDER.jpg
334,Islam & Pluralisme,"Al-Mustaqeem Mahmod Radhi,Khairul Anam Che Mentri",Middle-Eastern Graduate Centre Sdn.Bhd.(Megc),2008,"[""Malay""]",placeholder,covers/2008_Islam_&_Pluralisme_PLACEHOLDER.jpg
335,Amalan Kemurahan Rezeki,Iffa Karimah,Jasmin Enterprise,2008,"[""Malay""]",placeholder,covers/2008_Amalan_Kemurahan_Rezeki_PLACEHOLDER.jpg
336,Rahsia Jalan Yang Lurus,,Al Mustaqiim,2008,"[""Malay""]",placeholder,covers/2008_Rahsia_Jalan_Yang_Lurus_PLACEHOLDER.jpg
337,All For Passion Love,Wu Ro Quan,Penerbitan Fang Zhi,2008,"[""Chinese""]",placeholder,covers/2008_All_For_Passion_Love_PLACEHOLDER.jpg
338,Av Angel,,Av Co.,2008,"[""Chinese""]",placeholder,covers/2008_Av_Angel_PLACEHOLDER.jpg
339,Pelik Tapi Benar Dalam Solat,Ustaz Abdul Rahman Mohamed,Telaga Biru Sdn.Bhd.,2008,"[""Malay""]",placeholder,covers/2008_Pelik_Tapi_Benar_Dalam_Solat_PLACEHOLDER.jpg
340,"Ananda Vikatan Dis 12, 2007",,,2008,"[""Tamil""]",placeholder,"covers/2008_Ananda_Vikatan_Dis_12,_2007_PLACEHOLDER.jpg"
341,Kumudam 12-12-2007,,,2008,"[""Tamil""]",placeholder,covers/2008_Kumudam_12-12-2007_PLACEHOLDER.jpg
342,Apakah Itu Ahmadiyah?,Mirza Bashiruddin Mahmud Ahmad,Jemaat Islam Ahmadiyah Malaysia 1995,2007,"[""Malay""]",placeholder,covers/2007_Apakah_Itu_Ahmadiyah_PLACEHOLDER.jpg
343,Nine Part Of Desire The Hidden Workd Of Islamic Women,Geraldine Brooks,Anchor Books,2007,"[""English""]",placeholder,covers/2007_Nine_Part_Of_Desire_The_Hidden_Workd_Of_Islamic_Women_PLACEHOLDER.jpg
344,Feminism And Islamic Fundamentalism The Limits Of Postmodern Analysis,Haideh Moghissi,Zed Books Ltd,2007,"[""English""]",placeholder,covers/2007_Feminism_And_Islamic_Fundamentalism_The_Limits_Of_Postmodern_Analysis_PLACEHOLDER.jpg
345,Unveiled At Last,Bob Sjogren,Ymaw Publishing A Ministry Of Youth With A Mission,2007,"[""English""]",open_library,covers/2007_Unveiled_At_Last.jpg
346,Heart Of The Koran,Lex Hixon,The Theosophical Publishing House,2007,"[""English""]",open_library,covers/2007_Heart_Of_The_Koran.jpg
347,The Fifth Pillar A Spritual Pilgrimage,David Zeidan,Piquant,2007,"[""English""]",placeholder,covers/2007_The_Fifth_Pillar_A_Spritual_Pilgrimage_PLACEHOLDER.jpg
348,My Journey From The Christianity Of Ahlul Sunnah Wal Jamaah To The Islam Of The Prophet,Saim Bakar,,2007,"[""English""]",placeholder,covers/2007_My_Journey_From_The_Christianity_Of_Ahlul_Sunnah_Wal_Jamaah_To_The_Islam_Of_The_Prophet_PLACEHOLDER.jpg
349,Now You Can Knows What Muslims Believe,,Ministries To Muslims,2007,"[""English""]",placeholder,covers/2007_Now_You_Can_Knows_What_Muslims_Believe_PLACEHOLDER.jpg
350,"Introducing Islam. Islam, Christianity, And Judaism",Dorothy Kavanaugh,Mason Crest Publishers,2007,"[""English""]",open_library,"covers/2007_Introducing_Islam._Islam,_Christianity,_And_Judaism.jpg"
351,Introdusing Islam. Islam:The Basics,Kim Whiteheads,Mason Crest Publishers,2007,"[""English""]",placeholder,covers/2007_Introdusing_Islam._Islam_The_Basics_PLACEHOLDER.jpg
352,The Life And Times Of Muhammad,Sir John Glubb,Mardison Books,2007,"[""English""]",placeholder,covers/2007_The_Life_And_Times_Of_Muhammad_PLACEHOLDER.jpg
353,Murder In The Name Of Allah,Harzat Mirza Tahir Ahmad,Lutterworth Press,2007,"[""English""]",placeholder,covers/2007_Murder_In_The_Name_Of_Allah_PLACEHOLDER.jpg
354,The Last Of The Giants,George Parshall,Fleming H.Revell A Division Of Baker Book House Company,2007,"[""English""]",placeholder,covers/2007_The_Last_Of_The_Giants_PLACEHOLDER.jpg
355,Jesus And Muhammad Profound Differences And Surprising Similarities,"Mark A. Gabriel, Phd",Charisma House A Strang Company,2007,"[""English""]",placeholder,covers/2007_Jesus_And_Muhammad_Profound_Differences_And_Surprising_Similarities_PLACEHOLDER.jpg
356,Answering Islam The Cresent In Light Of The Cross,Norman I Geisler Abdul Saleeb,Bakers Books A Division Of Baker Book House Company,2007,"[""English""]",placeholder,covers/2007_Answering_Islam_The_Cresent_In_Light_Of_The_Cross_PLACEHOLDER.jpg
357,Inside The Community: Understanding Muslims Through Their Traditions,Phil Parshall,Baker Books A Division Of Baker Book House Company,2007,"[""English""]",placeholder,covers/2007_Inside_The_Community_Understanding_Muslims_Through_Their_Traditions_PLACEHOLDER.jpg
358,"Islam In Context Past, Present, And Future",Peter G.Riddell Peter Cootterell,Baker Books A Division Of Baker Book House Company,2007,"[""English""]",placeholder,"covers/2007_Islam_In_Context_Past,_Present,_And_Future_PLACEHOLDER.jpg"
359,"Islam At The Crossroads Understanding Its Beliefs, History, And Conflicts",Paul Marshall Roberts Green Lela Gilbert,Baker Books A Division Of Baker Book House Company,2007,"[""English""]",placeholder,"covers/2007_Islam_At_The_Crossroads_Understanding_Its_Beliefs,_History,_And_Conflicts_PLACEHOLDER.jpg"
360,New Paths In Muslim Evangelism Evangelical Approaches To Contextualization,Phill Parshall,Baker Book House,2007,"[""English""]",placeholder,covers/2007_New_Paths_In_Muslim_Evangelism_Evangelical_Approaches_To_Contextualization_PLACEHOLDER.jpg
361,Glad News! God Loves You My Muslim Friend,Samy Tanagho,Authentic Mmemdia,2007,"[""English""]",open_library,covers/2007_Glad_News!_God_Loves_You_My_Muslim_Friend.jpg
362,Blind Following Of Madhabs,Shaykh Muhammad Sultaan Al-Ma`Oomee Al-Khajnadee,Al-Hidayah Publishing & Distribution,2007,"[""English""]",placeholder,covers/2007_Blind_Following_Of_Madhabs_PLACEHOLDER.jpg
363,Ombak Hidup Mengalami Damai Di Masa Taufan,,Yayasan Isahi Nusantara (Yin),2007,"[""Malay""]",placeholder,covers/2007_Ombak_Hidup_Mengalami_Damai_Di_Masa_Taufan_PLACEHOLDER.jpg
364,Rahsia Manusia Menyingkap Ruh Ilahi,Syekh Nur Ad-Din Ar Raniri,Pustaka Sufi,2007,"[""Malay""]",placeholder,covers/2007_Rahsia_Manusia_Menyingkap_Ruh_Ilahi_PLACEHOLDER.jpg
365,Tasawuf Dalam Qur`An,Dr. Mir Valiudin/Tim Pustaka Firdaus,Pustaka Firdaus Ji,2007,"[""Malay""]",placeholder,covers/2007_Tasawuf_Dalam_Qur`An_PLACEHOLDER.jpg
366,Pilihan Do`A Jaljalut Mengantisipasi Gejolak Zaman Modern,Muh. Rofi` Si,Pt Grafikatama Jaya,2007,"[""Malay""]",placeholder,covers/2007_Pilihan_Do`A_Jaljalut_Mengantisipasi_Gejolak_Zaman_Modern_PLACEHOLDER.jpg
367,Pengantar Psikologi Al-Quran Dimensi Keilmuan Di Balik Mushaf Utsmani,Dr. Lukman Saksonro. M Se Drs Anharudin,Pt Grafikatama Jaya,2007,"[""Malay""]",placeholder,covers/2007_Pengantar_Psikologi_Al-Quran_Dimensi_Keilmuan_Di_Balik_Mushaf_Utsmani_PLACEHOLDER.jpg
368,Bahaya Tarikat Sufi/Tasawuf Terhadap Masyarakat,Ustaz Rasul Bin Dahri,Perniagaan Jahabersa,2007,"[""Malay""]",placeholder,covers/2007_Bahaya_Tarikat_Sufi_Tasawuf_Terhadap_Masyarakat_PLACEHOLDER.jpg
369,Menyoal Relevensi Sunnah Dalam Islam Modern,Daniel W.Brown/Jaziar Radiiati Dan Entin Sriani Muslim,Penerbitan Mizan Anggota Ikapi,2007,"[""Malay""]",placeholder,covers/2007_Menyoal_Relevensi_Sunnah_Dalam_Islam_Modern_PLACEHOLDER.jpg
370,One True God Risiko Sejarah Bertuhan Satu,Rodney Stark /M. Sadat Ismail,Penerbit Qalam Ji,2007,"[""Malay""]",placeholder,covers/2007_One_True_God_Risiko_Sejarah_Bertuhan_Satu_PLACEHOLDER.jpg
371,Islam Tanpa Syariat Menggali Universalitas Tradisi,Ziauddin Sardar,Penerbit Grafindo Khazanah Ilmu Pp Pemuda Muhammadiyah,2007,"[""Malay""]",placeholder,covers/2007_Islam_Tanpa_Syariat_Menggali_Universalitas_Tradisi_PLACEHOLDER.jpg
372,The Passion Of The Christ Kesengsaraan Al-Masihi,,,2007,"[""Malay""]",placeholder,covers/2007_The_Passion_Of_The_Christ_Kesengsaraan_Al-Masihi_PLACEHOLDER.jpg
373,"Inside Islam The Faith, The People And The Conflicts Of The Word`S Fastest Growing Religion",,Marlowe & Company An Imprint Of Avalon Publishing Group Incorporated,2007,"[""Malay""]",placeholder,"covers/2007_Inside_Islam_The_Faith,_The_People_And_The_Conflicts_Of_The_Word`S_Fastest_Growing_Religion_PLACEHOLDER.jpg"
374,Wahdat Al-Adyan Dialog Pluralisme Agama,Fathimah Usman,Lk Isyogyakarta Salakan Baru,2007,"[""Malay""]",placeholder,covers/2007_Wahdat_Al-Adyan_Dialog_Pluralisme_Agama_PLACEHOLDER.jpg
375,Ringkasan Mafatih Al-Jinan Kunci Pembuka Syurga,Syeikh At-Tusiy,Jasmin Enterprise,2007,"[""Malay""]",placeholder,covers/2007_Ringkasan_Mafatih_Al-Jinan_Kunci_Pembuka_Syurga_PLACEHOLDER.jpg
376,Mujarobat Ilmu Kekebalan,Ahmad Toha Abdu Ghoni,Cv. Bintang Pelajar,2007,"[""Malay""]",placeholder,covers/2007_Mujarobat_Ilmu_Kekebalan_PLACEHOLDER.jpg
377,Ikhtisar Tajul Muluk (Mahkota Raja),Abdul Hamid Zahwan,Cv. Aneka,2007,"[""Malay""]",placeholder,covers/2007_Ikhtisar_Tajul_Muluk_(Mahkota_Raja)_PLACEHOLDER.jpg
378,Petunjuk Membuat Azimat Dan Benda Bertuah,Abd. Hamid Zahwan,Cv. Aneka,2007,"[""Malay""]",placeholder,covers/2007_Petunjuk_Membuat_Azimat_Dan_Benda_Bertuah_PLACEHOLDER.jpg
379,Rahsia Di Kamar & Kunci Wanita,Tok Nujum,Usnie Sdn. Bhd,2007,"[""Malay""]",placeholder,covers/2007_Rahsia_Di_Kamar_&_Kunci_Wanita_PLACEHOLDER.jpg
380,Rahsia Nombor 1 Untuk Wanita Ii,Tok Nujum,Usnie Sdn. Bhd,2007,"[""Malay""]",placeholder,covers/2007_Rahsia_Nombor_1_Untuk_Wanita_Ii_PLACEHOLDER.jpg
381,Rahsia Kenikmatan Rumahtangga,Tabib Haji Anwar Khan,Tabib Haji Anwar Khan Enterprise,2007,"[""Malay""]",placeholder,covers/2007_Rahsia_Kenikmatan_Rumahtangga_PLACEHOLDER.jpg
382,Al-Kafilah Siapakah Yang Dikatakan Gadis,Puteri Izma (Mohamad Abdul Hamid),Usnie Pulisher,2007,"[""Malay""]",placeholder,covers/2007_Al-Kafilah_Siapakah_Yang_Dikatakan_Gadis_PLACEHOLDER.jpg
383,Pendidikan Seks Rumah Tangga Kemuncak Rahsia Kebahagiaan & Kasih Sayang Sejati Rahsia Menguatkan Tenaga Batin Teknik Bercumbu Dan Berjimak,Jaafar Salleh,Al-Hidayah Publishers,2007,"[""Malay""]",placeholder,covers/2007_Pendidikan_Seks_Rumah_Tangga_Kemuncak_Rahsia_Kebahagiaan_&_Kasih_Sayang_Sejati_Rahsia_Menguatkan_Ten_PLACEHOLDER.jpg
384,Masalah Seksual Lelaki & Rawatan Alternatif,,Teguh Ringgit Publishing House,2007,"[""Malay""]",placeholder,covers/2007_Masalah_Seksual_Lelaki_&_Rawatan_Alternatif_PLACEHOLDER.jpg
385,Islamic Fundamentalism Since 1945,Beverly Milon - Edwards,Routledge,2007,"[""English""]",placeholder,covers/2007_Islamic_Fundamentalism_Since_1945_PLACEHOLDER.jpg
386,Onward Muslim Soldier,Robert Spencer,Regnery Publishing Inc,2007,"[""English""]",placeholder,covers/2007_Onward_Muslim_Soldier_PLACEHOLDER.jpg
387,The Qur'an,M.A.S. Abdel Haleem,"Oxford University Press Inc., New York",2007,"[""English""]",open_library,covers/2007_The_Qur'an.jpg
388,Who Can Be Saved? And World Religions,Terrance L.Tiessen,"Inter-Varsity Press,",2007,"[""English""]",placeholder,covers/2007_Who_Can_Be_Saved_And_World_Religions_PLACEHOLDER.jpg
389,The Koran,M.H. Shakir,Goodword Books,2007,"[""English""]",placeholder,covers/2007_The_Koran_PLACEHOLDER.jpg
390,Islamic Aesthetics: An Introduction,Oliver Leaman,Edinburgh University Press Ltd,2007,"[""English""]",placeholder,covers/2007_Islamic_Aesthetics_An_Introduction_PLACEHOLDER.jpg
391,The Koran : Selected Suras,Arthur Jeffery,"Dover Publications, Inc",2007,"[""English""]",placeholder,covers/2007_The_Koran_Selected_Suras_PLACEHOLDER.jpg
392,"War, Terror & Peace In The Qur'an And In Islam: Insights For Military & Goverment Leaders",T.P.Schwartz Barcott,Army War College Foundation Press,2007,"[""English""]",placeholder,"covers/2007_War,_Terror_&_Peace_In_The_Qur'an_And_In_Islam_Insights_For_Military_&_Goverment_Leaders_PLACEHOLDER.jpg"
393,Vampire Master,Urushihara Chishi,Shonen Gahosha Co.,2007,"[""Chinese""]",placeholder,covers/2007_Vampire_Master_PLACEHOLDER.jpg
394,Xenos,Mio Murao,Shonen Gahosha Co.,2007,"[""Chinese""]",placeholder,covers/2007_Xenos_PLACEHOLDER.jpg
395,16 Years Old Virgin Met Sex Maniac,,,2007,"[""Chinese""]",placeholder,covers/2007_16_Years_Old_Virgin_Met_Sex_Maniac_PLACEHOLDER.jpg
396,Ibu Tiri Berumur 30 Tahun Yang Seksi,,,2007,"[""Chinese""]",placeholder,covers/2007_Ibu_Tiri_Berumur_30_Tahun_Yang_Seksi_PLACEHOLDER.jpg
397,Gadis Miang Makan Pisang,,,2007,"[""Chinese""]",placeholder,covers/2007_Gadis_Miang_Makan_Pisang_PLACEHOLDER.jpg
398,Kakak Lawa Miang Tujuh Kali Dalam Semalam,Da Jie Da,,2007,"[""Chinese""]",placeholder,covers/2007_Kakak_Lawa_Miang_Tujuh_Kali_Dalam_Semalam_PLACEHOLDER.jpg
399,Hiyoko Brand,Hiyoko Kobayashi,Huang Ye Comics Co.,2007,"[""Chinese""]",placeholder,covers/2007_Hiyoko_Brand_PLACEHOLDER.jpg
400,Victim Of Proud Eagle,Lin Xue Er,Homer Culture Ind. Co. Ltd,2007,"[""Chinese""]",placeholder,covers/2007_Victim_Of_Proud_Eagle_PLACEHOLDER.jpg
401,Aya 4X1 Amazing Love Story,Aki Katsu,He Feng Publishing House,2007,"[""Chinese""]",placeholder,covers/2007_Aya_4X1_Amazing_Love_Story_PLACEHOLDER.jpg
402,Step Up Love Story,Aki Katsu,He Feng Publishing House,2007,"[""Chinese""]",placeholder,covers/2007_Step_Up_Love_Story_PLACEHOLDER.jpg
403,To Turn On The Potential Energy Of Sex,Li Jia Xiong/Jian Zhen,Dong You Culture Ind. Co. Ltd.,2007,"[""Chinese""]",placeholder,covers/2007_To_Turn_On_The_Potential_Energy_Of_Sex_PLACEHOLDER.jpg
404,Gakuen Heaven,You Ren,Ri Yue Publishing Co. Ltd,2007,"[""Chinese""]",placeholder,covers/2007_Gakuen_Heaven_PLACEHOLDER.jpg
405,Love Distortion,Sukune Inugami,Zhang Hong Publishing House Co. Ltd,2007,"[""Chinese""]",placeholder,covers/2007_Love_Distortion_PLACEHOLDER.jpg
406,Sexual Gift,Hikaru Tohyama,Tian Gong Publication House,2007,"[""Chinese""]",placeholder,covers/2007_Sexual_Gift_PLACEHOLDER.jpg
407,Shamese's Delivery Service,Hikaru Tohyama,Tian Gong Publication House,2007,"[""Chinese""]",placeholder,covers/2007_Shamese's_Delivery_Service_PLACEHOLDER.jpg
408,Kehidupan Kucar Kacir Dalam Kongsi Gelap,Ah Huo,Hong Dai Yang Manufacture Co. Ltd.,2007,"[""Chinese""]",placeholder,covers/2007_Kehidupan_Kucar_Kacir_Dalam_Kongsi_Gelap_PLACEHOLDER.jpg
409,Politik Islam Membawa Kasih Sayang,Ustaz Hj. Ashaari Muhammad,One Art Productions (001662932-D),2007,"[""Malay""]",placeholder,covers/2007_Politik_Islam_Membawa_Kasih_Sayang_PLACEHOLDER.jpg
410,Penyembuhan Cara Sufi,Saykh Ghulam Moinuddin,Yayasan Bentang Budaya,2007,"[""Malay""]",placeholder,covers/2007_Penyembuhan_Cara_Sufi_PLACEHOLDER.jpg
411,Tasawuf Perenial Kearifan Kritis Kaum Sufi,Kautsar Azhari Noer,Pt Serambi Ilmu Semesta,2007,"[""Malay""]",placeholder,covers/2007_Tasawuf_Perenial_Kearifan_Kritis_Kaum_Sufi_PLACEHOLDER.jpg
412,The Muslim Jesus: Kisah Dan Sabda Yesus Dalam Literatur Islam,Tarif Khalidi,Pt Serambi Ilmu Semesta,2007,"[""Malay""]",placeholder,covers/2007_The_Muslim_Jesus_Kisah_Dan_Sabda_Yesus_Dalam_Literatur_Islam_PLACEHOLDER.jpg
